"MacroTrends Data Download"
"BRK.A - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1982-10-18,600,615,600,600,150000
1982-10-19,600,615,600,600,80000
1982-10-20,600,610,600,600,370000
1982-10-21,615,630,615,615,50000
1982-10-22,620,635,620,620,20000
1982-10-25,620,630,615,615,10000
1982-10-26,615,625,610,610,40000
1982-10-27,610,610,610,610,0
1982-10-28,610,610,610,610,0
1982-10-29,610,610,610,610,0
1982-11-01,610,610,610,610,0
1982-11-02,625,645,625,625,10000
1982-11-03,640,655,640,640,30000
1982-11-04,660,675,660,660,20000
1982-11-05,665,680,665,665,10000
1982-11-08,665,680,665,665,1000
1982-11-09,680,695,680,680,30000
1982-11-10,685,695,685,685,50000
1982-11-11,685,690,675,675,30000
1982-11-12,690,705,690,690,30000
1982-11-15,690,700,685,685,9000
1982-11-16,690,710,690,690,20000
1982-11-17,690,710,690,690,20000
1982-11-18,690,710,690,690,10000
1982-11-19,690,705,690,690,3000
1982-11-22,690,705,690,690,9000
1982-11-23,690,690,690,690,0
1982-11-24,690,700,690,690,30000
1982-11-26,690,705,690,690,2000
1982-11-29,690,705,690,690,20000
1982-11-30,690,705,690,690,40000
1982-12-01,690,705,690,690,40000
1982-12-02,690,705,690,690,3000
1982-12-03,690,705,690,690,1000
1982-12-06,695,705,695,695,20000
1982-12-07,700,710,700,700,20000
1982-12-08,700,715,700,700,60000
1982-12-09,700,700,700,700,0
1982-12-10,705,720,705,705,20000
1982-12-13,710,725,710,710,20000
1982-12-14,710,725,710,710,10000
1982-12-15,710,725,710,710,10000
1982-12-16,720,735,720,720,3000
1982-12-17,730,745,730,730,20000
1982-12-20,730,750,730,730,4000
1982-12-21,735,750,735,735,20000
1982-12-22,755,770,755,755,20000
1982-12-23,770,790,770,770,20000
1982-12-27,770,790,770,770,20000
1982-12-28,770,785,770,770,2000
1982-12-29,770,785,770,770,30000
1982-12-30,775,790,775,775,20000
